type_cd,cat_cd,category_desc
01,0001,Regular Sales Draft
01,0002,Regular Cash Advance
01,0003,Convenience Check Debit
01,0004,ATM Cash Advance
01,0005,Interest Amount
02,0001,Cash payment
02,0002,Electronic payment
02,0003,Check payment
03,0001,Credit to Account
03,0002,Credit to Purchase balance
03,0003,Credit to Cash balance
04,0001,Zero dollar authorization
04,0002,Online purchase authorization
04,0003,Travel booking authorization
05,0001,Refund credit
06,0001,Fraud reversal
06,0002,Non-fraud reversal
07,0001,Sales draft credit adjustment
